dsmsgkey,dsenus,dsptbr,dseses
Caption.nmOrigin,Origin,Origem,Origen
Caption.nmAgent,Agent,Agente,Agente
Caption.nmCustomer,Customer,Cliente,Cliente
Caption.nmCourier,Courier,Courier,Mensajero
Caption.nmCarrierDest,Carrier Destination,Armador Destino,Destino del transportista
Caption.nmCarrierOrigin,Carrier Origin,Armador Origem,Origen del transportista
Caption.nmShipper,Shipper,Shipper,Remitente
NavRoute.title.rechargeOverview,Recharge Overview,Sumário de Recarga,Resumen de recarga
Caption.dsInsurance,Insurance,Seguro,Seguro
Caption.nmObsSubAgent,Obs Sub Agent,Obs Representante,Agente Subordinado de Observación
Caption.nbTransitTime,Transit Time (days),Transit Time (dias),Tiempo de tránsito (días)
Caption.nmColoader,Co-Loader,Co-Loader,Co-Loader
Caption.nmSalesman,Salesperson 1,Vendedor 1,Vendedor 1
Caption.nmMooringTerminal,Mooring Terminal,Terminal de Atracação,Terminal de amarre
Caption.nmSalesman2,Salesperson 2,Vendedor 2,Vendedor 2
Caption.nmRedestinationTerminal,Redestination Terminal,Terminal de Redestinação,Terminal de Redestinación
Caption.flRedestination,Redestination,Redestinação,Redestinación
EditProcessDeclaredValueCarrier.label.updateDeclaredValueCarrier,Update,Atualizar,Actualizar
EditProcessDeclaredValueCustoms.label.updateDeclaredValueCustoms,Update,Atualizar,Actualizar
DemurrageControl.button.search,Search,Pesquisar,Buscar
Salesmen.button.addSalesman,Add Salesperson,Adicionar Vendedor,Agregar vendedor de ventas
Caption.nmSubAgent,Sub Agent,Representante,Subagente
NavRoute.subtitle.salesmanEditing,Salesperson Editing,Edição de Vendedor,Edición de vendedor
EditProcessDeclaredValueCarrier.label.declaredValueCarrier,Declared Value (Carriage),Declared Value (Carriage),Valor Declarado (Transporte)
EditProcessDeclaredValueCustoms.placeholder.declaredValueCustoms,Declared Value (Customs),Declared Value (Customs),Valor declarado (Aduanas)
EditProcessDeclaredValueCustoms.label.declaredValueCustoms,Declared Value (Customs),Declared Value (Customs),Valor declarado (Aduanas)
Caption.nmAirlineDest,Airline Destination,CIA Aérea Destino,Destino de la aerolínea
Caption.dsVolumes,Volumes,Volumes,Volúmenes
Label.obCustomer,Customer,Cliente,Cliente
Label.vlBundle,Value,Valor,Valor
Label.vlCredit,Credits,Créditos,Créditos
SideMenuComponent.label.overview,Credits,Créditos,Créditos
Caption.nmVessel,Vessel,Navio,Barco
