idi18n,dsmsgkey,dsenus,dsptbr,dseses
1039ab55-5503-4b33-b7b0-d0cae56b5524,ActionGroupTypes.AIR,Air,Aéreo,Aire
e5769e8f-5ca7-41cf-8e2e-769a9b792cf4,ActionGroupTypes.COMPANY,Company,Empresa,Compañía
e76215d5-bce5-40f2-9c58-e6f8ce556d99,ActionGroupTypes.EXPORT,Export,Exportação,Exportación
c5e6ad99-983c-42cf-8564-2864d9e9a453,ActionGroupTypes.FINANCIAL,Financial,Financeiro,Financiero
86c7eb72-b389-49bf-bbc9-8aa4dba6ac37,ActionGroupTypes.OFFICE,Office,Escritório,Oficina
f0968e45-21d7-4b9d-bc98-29517407ded3,ActionGroupTypes.PROCESS,Process,Processo,Proceso
abedb113-e919-411a-bb43-bdfaa39d926a,ActionGroupTypes.QUOTATION,Quotation,Cotação,Cotización
5df316d4-ca07-4325-8a64-438407f1bea9,ActionGroupTypes.REGISTER,Register,Cadastros,Registro
5c7f8850-bffd-44cc-857d-e0f0c6b1bad3,ActionGroupTypes.SEA,Sea,Marítimo,Mar
a4e4f5cb-fc6d-4ed8-b690-133a9655ddff,ActionGroupTypes.USERS,Users,Usuários,Usuarios
0517bc2a-afeb-40c6-ab78-3ccd3c1ff915,Action.name.ADDADDRESS,Add Address,Adicionar Endereço,Agregar dirección.
d096fced-30a6-4c37-a3f9-7bc7097fbb7c,Action.name.ADDAGENT,Add Agent,Adicionar Agente,Añadir Agente
ac753a56-da16-465d-b755-97ff0b1e9a04,Action.name.ADDAIRLINE,Add Airline,Adicionar CIA Aérea,Añadir aerolínea.
80c71727-aa8d-4656-a429-39b8fde54746,Action.name.ADDAIRPORT,Add Airport,Adicionar Aeroporto,Añadir Aeropuerto
aa6c512e-2146-46f3-975b-cd836bbb32fc,Action.name.ADDAWBSEQUENCE,Add AWB Sequence,Adicionar Sequence de AWB,Agregar Secuencia AWB
18a01dc7-48ad-4655-83b5-cba2a7cbfd63,Action.name.ADDBANKACCOUNT,Add Bank Account,Adicionar Conta Bancária,Agregar cuenta bancaria.
6c42c736-ac35-440e-b565-4e3fdf33a8c8,Action.name.ADDCARRIER,Add Carrier,Adicionar Armador,Añadir transportista.
362416f7-9779-44cc-9d60-4b65ca7b74f8,Action.name.ADDCARRIERDEMURRAGE,Add Carrier Demurrage,Adicionar Demurrage do Armador,Agregar Demora del Transportista
ea30ab9f-c8f4-4590-b350-050912278765,Action.name.ADDCHARGE,Add Charge,Adicionar Taxa,Agregar cargo
dda4abb7-a61d-4136-8dc9-2c65d605c936,Action.name.ADDCHARGECALCULATION,Add Charge Calculation,Adicionar Cálculo de Taxa,Agregar Cálculo de Cargos
264cf18a-88a7-4020-bdc5-ec8d2b2de8dd,Action.name.ADDCHECKLISTGROUP,Add Checklist,Adicionar Checklist,Añadir Lista de Verificación
39e21a7e-347f-4025-a922-e5efda677103,Action.name.ADDCOCARGOPRESENCE,Add Cargo Presence,Adicionar Presença de Carga,Agregar Presencia de Carga
f4865fed-891b-4f51-bb06-c1e232aaa0ee,Action.name.ADDCODECLARATION,Add Customs Declaration,Adicionar Declaração (DIR),Agregar Declaración de Aduanas
0a9244d6-4566-43df-9357-88345a3e00d6,Action.name.ADDCODEVOLUTION,Add Devolution,Adicionar Devolução,Agregar Devolución
ced2224c-c8eb-406b-a185-37e14bb753e2,Action.name.ADDCOMANIFEST,Add Manifest,Adicionar Manifesto,Añadir Manifiesto
051c7ec1-2468-4dfa-abf3-167098dc9f6d,Action.name.ADDCOMMISSION,Add Commission,Adicionar Comissão,Añadir Comisión.
a1cd3894-a6a7-4ed2-b4e6-c88619795d4d,Action.name.ADDCOMPANY,Add Company,Adicionar Empresa,Añadir Compañía
98e37fb0-ba37-4eae-9abe-e9f97836b0c6,Action.name.ADDCOMPANYCOSTCENTER,Add % Cost Center at Company,Adicionar % Centro de Custo na Empresa,Agregar % Centro de Costo en la Compañía
ebf864bf-96fb-45a1-8ff6-50e5b7008e12,Action.name.ADDCOMPANYSERVICE,Add Service,Adicionar Serviço,Añadir Servicio
dca5eefe-9429-4ad2-bba8-4aadfc9d8fc6,Action.name.ADDCONTACT,Add Contact,Adicionar Contato,Añadir contacto
e460e0b0-2deb-4a19-88eb-20ac58f8f071,Action.name.ADDCOPAYMENT,Add Payment (DARF),Adicionar Pagamento (DARF),Agregar Pago (DARF)
dbfd2acc-b1fc-49ce-bfb0-09cd8b85f022,Action.name.ADDCOREVIEWREQUEST,Add Review Requests,Adicionar Pedidos de Revisão,Agregar solicitudes de revisión
f32c8672-8271-4d6d-af81-ded6d232aacd,Action.name.ADDCOSTCENTER,Add Cost Center,Criar Centro de Custo,Agregar centro de costos.
c9eeade3-a72c-4fc2-a12e-cac9b1e3ac6e,Action.name.ADDCOUNTRYFLAGS,Add Country,Adicionar País,Agregar país
7070aecc-857e-43ca-9565-d12db17be3d2,Action.name.ADDCUSTOMER,Add Customer,Adicionar Cliente,Agregar Cliente
39b2281a-7e62-47f3-8348-cd5e45b723e2,Action.name.ADDDEPARTAMENT,Add Department,Adicionar Departamento,Añadir Departamento
bbfa2b83-4097-4c85-bbf2-17d38591d560,Action.name.ADDDEPARTMENT,Add Department,Adicionar Departamento,Añadir Departamento
