dsmsgkey,dsenus,dsptbr,dseses
FormatSettings.DecimalSeparator,.,",",","
ActionGroupTypes.AIR,Air,Aéreo,Aéreo
Action.name.DELETEPRICINGQUOTATIONVOLUME,Batch Delete Volumes (Pricing and Quotation),Remover Volumes em Lote (do Pricing e da Cotação),Eliminar Volumenes en Lote (de Precios y Cotización)
Action.name.DELETEPRICINGVOLUME,Delete Pricing Volume,Remover Volume do Pricing,Eliminar Volumen de Precios
Label.nmBundle,Plan,Plano,Paquete
Label.none,None,Nenhum,Ninguno
Action.name.PORTS,View Ports,Visualizar Portos,Ver Puertos
AgentCompanyFormComponent.label.cdRatingPricing,Pricing rating,Avaliação pricing,Evaluación de precios
AgentCompanyFormComponent.label.dtMerchant,Merchant expiration,Vencimento da mercante,Caducidad del comerciante
AgentCompanyFormComponent.label.vlLimit,Credit Limit,Limite de Crédito,Límite de crédito
AgentCompanyFormComponent.placeholder.vlLimit,Limit,Limite,Límite
AwbSequenceList.paginator.Awbs,AWBs,AWBs,AWBs
Button.no,No,Não,No
CalculationTypes.PCT_GOODS_VALUE,Goods value %,% de valor da mercadoria,% del valor de la mercancía
CalculationTypes.PCT_TOTAL,Total %,% Total,% Total
CalculationTypes.PER_DOCUMENT,Per document,Por documento,Por documento
CalculationTypes.PER_EQUIPMENT,Per Equipment,Por Equipamento,Por Equipo
CalculationTypes.PER_KG,Weight (Kg),Peso real (Kg),Peso (Kg) por kilogramo
Caption.countryDest,Dest Country,País de Destino,País de destino
Caption.countryOrigin,Origin Country,País de Origem,País de Origen
Caption.created,Created at,Criado em,Creado en
Caption.creditsUsed,Used,Utilizados,Utilizados
Caption.dtDocumentSent,Sent to Port,Enviado ao Porto,Enviado al puerto
Caption.dtLastContact,Last Contact,Último Contato,Último Contacto
Caption.freeTimeDemurrageCustomer,FT Demurrage Customer,FT Demurrage Cliente,FT Demurrage Cliente
Caption.freeTimeDetentionCarrier,FT Orig Carrier,FT Orig Armador,FT Armador Original
Caption.freeTimeDetentionCustomer,FT Orig Customer,FT Orig Cliente,FT Cliente Origen
Caption.help,Help,Ajuda,Ayuda
Caption.id,ID,ID,ID
Caption.idSalesman,ID Salesperson 1,ID Vendedor 1,ID Vendedor 1
Caption.idSalesman2,ID Salesperson 2,ID Vendedor 2,ID Vendedor 2
Caption.invoiceTotalExchange,Exchanged,Convertido,Convertido
Caption.lastVessel,Mooring Vessel,Navio Atracação,Buque de amarre
Caption.madeAt,Made at,Feito em,Hecho en
Caption.nmInstruction,Instruction,Instrução,Instrucción
Caption.nmObsCustomer,Obs Customer,Obs Cliente,Obs Cliente
Caption.nmObsCustomerHouse,Obs Customer (House),Obs Cliente (House),Obs Cliente (House)
Caption.nmObsInternal,Obs Internal,Obs Interna,Obs Interna
Caption.tpPPCCHouse,PP / CC (House),PP / CC (House),PP/CC (Casa)
Caption.tpPPCCMaster,PP / CC (Master),PP / CC (Master),PP/CC (Maestro)
CommercialForm.subHeader.buySellRates,Buy and Sell Rates,Tarifas de Compra e Venda,Tarifas de Compra y Venta
DocumentTypes.CPF,CPF,CPF,CPF
DocumentTypes.DRIVER_LICENSE,Driver License,Habilitação (CNH),Licencia de conducir
DocumentTypes.NIF,NIF,NIF,NIF
DocumentTypes.OTHER,Other,Outro,Otro
DocumentTypes.PASSPORT,Passport,Passaporte,Pasaporte
DocumentTypes.SSN,SSN,SSN,SSN
eBuilder.cdCustomerReferenceMaster,Customer Ref (Master),Ref do Cliente (Master),Ref. del cliente (Maestro)
eBuilder.cdDest,Destination,Destino,Destino
eBuilder.cdOrigin,Origin,Origem,Origen
eBuilder.cdProcess,Process,Processo,Proceso
eBuilder.cdProcessHouse,House,House,Casa
eBuilder.cdProcessMaster,Master,Master,Maestro
eBuilder.cdVoyage,Voy,Viagem/Voo,Viaje
eBuilder.dsBlHouse,BL/AWB House,BL/AWB House,Casa de BL/AWB
eBuilder.dsBooking,Booking,Booking,Reserva
eBuilder.dsVolumes,Volumes,Volumes,Volúmenes
email.followup.lbBlHouse,BL/AWB House,BL/AWB House,Casa BL/AWB
email.followup.lbBlMaster,BL/AWB Master,BL/AWB Master,BL/AWB Maestro
email.followup.lbDate,Date,Data,Fecha
email.followup.lbDemurrage,Demurrage,Demurrage,Demora en puerto
email.followup.lbETD,ETD,ETD,ETD
Label.pricing,Pricing,Pricing,Precios
FileForm.placeholder.dropFile,Drop your file or click to select one.,Arraste o arquivo ou clique para selecioná-lo.,Arrastre su archivo o haga clic para seleccionar uno.
FileList.header.documentView,Document View,Visualização de Documento,Visualización de Documento
FileList.paginator.files,Files,Arquivos,Archivos
